Asia Pacific Core Real Estate,0.16,-0.32,-0.05,-0.07,0.24,0.31,0.55,0.56,0.62,-0.17,0.12,-0.26,-0.03,-0.27,-0.03,-0.02,0.35,0.43,0.45,0.61,0.59,0.60,0.50,0.52,0.55,0.65,0.48,0.52,0.42,0.30,0.62,0.61,0.65,0.66,0.64,0.47,0.36,0.66,0.44,0.75,0.57,0.57,1.00,,,,,,,,,,,,
Global REITs,-0.08,-0.15,0.20,0.26,0.41,0.51,0.62,0.64,0.57,0.19,0.46,0.08,0.06,-0.02,-0.02,0.29,0.47,0.57,0.46,0.78,0.73,0.80,0.71,0.71,0.69,0.72,0.66,0.62,0.54,0.19,0.66,0.65,0.84,0.84,0.84,0.64,0.36,0.62,0.41,0.56,0.36,0.34,0.68,1.00,,,,,,,,,,,
Global Core Infrastructure,0.22,-0.20,-0.12,-0.08,0.06,0.13,0.38,0.39,0.53,-0.12,0.13,-0.21,0.07,-0.25,0.06,-0.08,0.25,0.37,0.31,0.31,0.29,0.43,0.23,0.24,0.19,0.40,0.11,0.36,0.29,0.11,0.36,0.34,0.41,0.43,0.41,0.18,-0.15,0.53,0.47,0.57,0.44,0.44,0.47,0.41,1.00,,,,,,,,,,
Global Core Transport,0.20,-0.11,-0.11,-0.11,-0.36,-0.33,-0.29,-0.26,-0.16,-0.03,-0.15,0.05,0.42,0.08,0.49,-0.13,-0.33,0.12,-0.31,-0.10,-0.23,0.18,-0.18,-0.15,-0.25,-0.05,-0.24,0.06,-0.13,-0.03,-0.17,-0.10,0.02,0.05,0.05,-0.40,-0.19,-0.02,0.08,0.42,0.02,-0.01,0.14,0.13,0.34,1.00,,,,,,,,,
Global Timberland,0.08,0.05,-0.06,0.03,-0.10,-0.04,-0.11,-0.09,-0.06,0.04,0.03,0.04,0.45,0.01,0.48,0.00,-0.09,0.36,-0.10,0.12,0.02,0.36,-0.02,0.07,-0.03,0.17,0.05,0.29,0.03,0.23,0.09,0.14,0.26,0.28,0.28,-0.13,-0.12,0.33,0.42,0.18,0.28,0.25,0.14,0.25,0.32,0.53,1.00,,,,,,,,
Diversified Hedge Funds hedged,-0.06,-0.12,0.06,0.08,0.37,0.44,0.65,0.68,0.68,-0.03,0.27,-0.16,-0.31,-0.22,-0.39,0.11,0.48,0.28,0.52,0.73,0.80,0.61,0.71,0.70,0.76,0.67,0.60,0.51,0.64,0.36,0.71,0.66,0.73,0.72,0.71,0.82,0.54,0.69,0.59,0.28,0.52,0.54,0.53,0.54,0.25,-0.30,-0.02,1.00,,,,,,,
Event Driven Hedge Funds hedged,-0.03,-0.09,0.11,0.11,0.39,0.50,0.80,0.79,0.76,-0.01,0.30,-0.14,-0.36,-0.22,-0.46,0.17,0.56,0.36,0.60,0.80,0.86,0.66,0.82,0.78,0.84,0.72,0.70,0.54,0.67,0.30,0.75,0.68,0.78,0.77,0.77,0.86,0.60,0.71,0.53,0.31,0.44,0.47,0.55,0.62,0.25,-0.29,-0.06,0.87,1.00,,,,,,
Long Bias Hedge Funds hedged,-0.10,-0.08,0.16,0.12,0.46,0.51,0.78,0.74,0.67,0.01,0.30,-0.10,-0.40,-0.17,-0.50,0.20,0.60,0.35,0.63,0.80,0.86,0.67,0.87,0.80,0.84,0.69,0.70,0.54,0.70,0.33,0.79,0.74,0.80,0.78,0.77,0.92,0.56,0.67,0.55,0.22,0.42,0.45,0.49,0.61,0.20,-0.35,-0.09,0.89,0.94,1.00,,,,,
Relative Value Hedge Funds hedged,0.01,-0.01,0.13,0.14,0.42,0.53,0.84,0.85,0.87,0.01,0.34,-0.14,-0.30,-0.23,-0.38,0.19,0.57,0.44,0.64,0.75,0.80,0.59,0.69,0.72,0.78,0.72,0.66,0.53,0.62,0.31,0.76,0.70,0.73,0.72,0.70,0.80,0.52,0.70,0.48,0.36,0.49,0.51,0.62,0.60,0.37,-0.27,-0.05,0.83,0.92,0.85,1.00,,,,
Macro Hedge Funds hedged,-0.01,0.09,-0.04,0.00,0.08,0.09,0.08,0.12,0.09,-0.04,0.30,-0.08,-0.13,-0.10,-0.15,0.00,0.06,0.05,0.02,0.23,0.22,0.09,0.17,0.19,0.26,0.24,0.32,0.06,0.12,0.01,0.25,0.21,0.19,0.18,0.17,0.23,0.09,0.25,0.16,-0.11,0.02,0.03,0.05,0.18,-0.15,-0.26,0.06,0.46,0.25,0.31,0.26,1.00,,,
Direct Lending,0.10,-0.10,-0.13,-0.02,-0.08,0.02,0.12,0.13,0.25,-0.04,0.01,-0.11,0.43,-0.16,0.47,-0.07,-0.02,0.41,0.04,0.22,0.16,0.52,0.04,0.12,0.07,0.33,0.07,0.43,0.15,0.20,0.22,0.25,0.41,0.45,0.43,0.02,-0.04,0.51,0.48,0.48,0.51,0.49,0.45,0.37,0.55,0.57,0.66,0.11,0.11,0.01,0.18,-0.08,1.00,,
Commodities,0.31,-0.21,-0.32,-0.30,-0.11,-0.04,0.23,0.23,0.35,-0.36,0.12,-0.45,-0.18,-0.45,-0.14,-0.30,0.04,0.18,0.09,0.29,0.26,0.26,0.19,0.19,0.24,0.47,0.34,0.19,0.18,0.01,0.36,0.29,0.32,0.33,0.30,0.16,0.08,0.52,0.36,0.42,0.47,0.49,0.51,0.27,0.36,-0.05,0.10,0.37,0.35,0.29,0.42,0.42,0.35,1.00,
Gold,0.03,0.08,0.18,0.10,0.11,0.05,-0.07,-0.10,-0.07,0.10,0.14,0.18,0.36,0.21,0.36,0.16,0.02,0.21,0.04,-0.17,-0.14,-0.08,-0.20,-0.24,-0.19,-0.08,-0.15,-0.11,-0.33,0.11,0.00,-0.01,-0.09,-0.06,-0.09,-0.10,-0.08,0.01,0.01,0.06,-0.01,-0.05,0.18,-0.01,0.14,0.28,0.27,-0.01,-0.11,-0.10,-0.04,0.26,0.31,0.28,1.00
